,category,token
0,cp,à
1,nc,abacateiro
2,nc,abacate
3,nc,abacaxi
4,nc,ábaco
5,nc,abade
6,nc,abadia
7,adj,abafante
8,v,abafar
9,nc,abafo
10,v,abaixar
11,nc,abaixo-assinado
12,adv,abaixo
13,nc,abalada
14,v,abalançar
15,v,abalar
16,v,abalizar
17,nc,abalo
18,v,abalroar
19,nc,abanadela
20,nc,abanadura
21,adj,abananado
22,nc,abanão
23,v,abanar
24,v,abanar
25,v,abandonar
26,nc,abandono
27,nc,aba
28,nc,abanico
29,nc,abano
30,nc,abarca
31,a,abarcante
32,v,abarcar
33,v,abarrotar
34,nc,abastança
35,v,abastardar
36,v,abastar
37,nc,abastecedouro
38,v,abastecer
39,v,abastonar
40,v,abatatar
41,nc,abate
42,v,abater
43,v,abaular
44,nc,abcesso
45,nc,abcissa
46,a,abdicante
47,v,abdicar
48,a,abdicatário
49,adj,abdicativo
50,adj,abdicatório
51,nc,abdómen
52,adj,abdominal
53,nc,abdução
54,adj,abducente
55,adj,abdutivo
56,nc,abdutor
57,v,abduzir
58,nc,abecedário
59,nc,á-bê-cê
60,v,abeiçar
61,v,abeirar
62,nc,abelha-mestra
63,nc,abelha
64,nc,abelhão
65,adj,abelhudo
66,adj,abeliano
67,nc,abencerragem
68,nc,abençoadeira
69,v,abençoar
70,nc,aberração
71,adj,aberrante
72,v,aberrar
73,adj,aberrativo
74,nc,aberta
75,adj,abertivo
76,adj,aberto
77,nc,abertura
78,v,abesoirar
79,v,abesourar
80,v,abespinhar
81,nc,abeto
82,v,abetumar
83,adj,abismal
84,v,abismar
85,nc,abismo
86,adj,abissal
87,adj,abissínio
88,nc,abjeção
89,adj,abjeto
90,v,abjudicar
91,v,abjurar
92,adj,abjuratório
93,nc,ablação
94,adj,ablativo
95,nc,ablativo
96,v,abnegar
97,adj,abnegativo
98,adj,abobadado
99,nc,abóbada
100,v,abobar
101,nc,aboboral
102,v,aboborar
103,nc,abóbora
104,nc,aboboreira
105,nc,abocamento
106,v,abocanhar
107,nc,abolicionismo
108,a,abolicionista
109,v,abolir
110,adj,abolitivo
111,v,abominar
112,v,abonar
113,adj,abonatório
114,adj,abonecado
115,nc,abono
116,nc,abordagem
117,v,abordar
118,nc,abordo
119,a,aborígene
120,v,aborrecer
121,nc,abortadeira
122,v,abortar
123,a,abortivo
124,nc,aborto
125,nc,abotoadeira
126,nc,abotoadura
127,v,abotoar
128,nc,abracadabra
129,nc,abraçadeira
130,v,abraçar
131,nc,abraço
132,v,abrandar
133,nc,abrangência
134,v,abranger
135,adj,abrasador
136,adj,abrasante
137,nc,abrasão
138,v,abrasar
139,v,abrasileirar
140,nc,abrasivo
141,nc,ab-reação
142,nc,abre-latas
143,v,abrenunciar
144,v,abreviar
145,adj,abreviativo
146,nc,abreviatura
147,nc,abrigada
148,nc,abrigadoiro
149,nc,abrigadouro
150,v,abrigar
151,nc,abrigo
152,v,abrilhantar
153,v,abrir
154,v,abrolhar
155,adj,abrolhoso
156,nc,abrunhal
157,nc,abrunheiro
158,nc,abrunho
159,adj,abrupto
160,nc,absentismo
161,a,absentista
162,nc,abside
163,nc,absíntio
164,nc,absinto
165,a,absoluto
166,adj,absolutório
167,v,absolver
168,nc,absolvição
169,nc,absorção
170,adj,absorto
171,adj,absorvedor
172,nc,absorvedouro
173,nc,absorvência
174,a,absorvente
175,v,absorver
176,nc,absorvibilidade
177,adj,abstémio
178,nc,abstenção
179,nc,abstencionismo
180,a,abstencionista
181,v,abster
182,nc,abstinência
183,adj,abstinente
184,nc,abstração
185,nc,abstracionismo
186,adj,abstrativo
187,a,abstrato
188,v,abstrair
189,adj,abstruso
190,nc,absurdeza
191,nc,absurdez
192,adj,absurdo
193,nc,abulia
194,adj,abúlico
195,nc,abundância
196,adj,abundante
197,v,abundar
198,v,aburguesar
199,v,abusar
200,adj,abusivo
201,nc,abuso
202,nc,abutre
203,adj,acabadote
204,v,acabar
205,adj,acabrunhado
206,nc,acácia
207,nc,academia
208,adj,académico
209,nc,academismo
210,adj,acádico
211,nc,açafrão
212,v,açaimar
213,nc,açaime
214,nc,açaimo
215,v,acalcar
216,v,acalçar
217,v,acalentar
218,nc,acalento
219,v,acalmar
220,nc,acalmia
221,v,acalorar
222,nc,acama
223,v,acamar
224,v,açambarcar
225,nc,açambarque
226,v,acampar
227,v,acanhar
228,nc,acanho
229,v,acantonar
230,a,acariciador
231,adj,acariciante
232,v,acariciar
233,adj,acariciativo
234,v,acarinhar
235,nc,ácaro
236,v,acarretar
237,v,acartar
238,v,acasalar
239,nc,acaso
240,adj,acastanhado
241,v,acastelar
242,a,acatador
243,v,acatar
244,a,acatólico
245,nc,acato
246,prep,a
247,v,acautelar
248,adj,acavalado
249,nc,ação
250,nc,acionado
251,a,acionador
252,nc,acional
253,v,acionar
254,adj,acionista
255,nc,acedência
256,adj,acedente
257,v,aceder
258,adj,acedioso
259,nc,acefalia
260,adj,acefálico
261,adj,acéfalo
262,nc,aceitabilidade
263,a,aceitador
264,a,aceitante
265,v,aceitar
266,nc,aceite
267,a,acelerador
268,adj,acelerante
269,v,acelerar
270,v,acenar
271,nc,acendalha
272,v,acender
273,nc,aceno
274,nc,acento
275,adj,acentual
276,v,acentuar
277,nc,aceção
278,nc,acepipe
279,v,acerbar
280,adv,acerca
281,v,acercar
282,adj,aceroso
283,adv,acerrimamente
284,adj,acérrimo
285,v,acertar
286,nc,acerto
287,nc,acervo
288,adj,aceso
289,nc,acessão
290,v,acessar
291,adj,acessível
292,nc,acesso
293,a,acessório
294,nc,acetal
295,nc,acetato
296,adj,acético
297,nc,acetileno
298,v,acetinar
299,nc,acetona
300,nc,achada
301,nc,achado
302,nc,acha
303,nc,achaque
304,v,achar
305,nc,achatadela
306,nc,achatadura
307,v,achatar
308,nc,achega
309,v,achegar
310,nc,achego
311,v,achincalhar
312,v,achinelar
313,v,achinesar
314,adj,achocolatado
315,v,acicatar
316,nc,acicate
317,adj,acíclico
318,adj,acicular
319,v,acicular
320,v,acidar
321,adj,acidental
322,v,acidentar
323,nc,acidente
324,nc,acidez
325,adj,acidificante
326,v,acidificar
327,adj,acidófilo
328,a,ácido
329,nc,acilação
330,adv,acima
331,adj,acinético
332,v,acinzar
333,v,acinzentar
334,adj,acirrante
335,v,acirrar
336,v,acitrinar
337,v,aclamar
338,adj,aclamativo
339,v,aclarar
340,v,aclimar
341,v,aclimatar
342,v,aclimatizar
343,a,aclive
344,nc,acne
345,v,acobardar
346,v,acobertar
347,adj,acocado
348,v,acocorar
349,v,acoimar
350,v,acoitar
351,v,açoitar
352,nc,açoiteira
353,nc,açoite
354,nc,acoito
355,adv,acolá
356,v,acolchetar
357,nc,acolchoadeira
358,a,acolchoado
359,v,acolchoar
360,v,acolher
361,nc,acolhida
362,nc,acolia
363,nc,acólito
364,v,acometer
365,nc,acometida
366,nc,acomodação
367,adj,acomodadiço
368,v,acomodar
369,v,acompadrar
370,a,acompanhador
371,v,acompanhar
372,v,acompassar
373,v,acompridar
374,adj,aconchegante
375,v,aconchegar
376,nc,aconchego
377,v,acondicionar
378,v,acondimentar
379,nc,aço
380,a,aconselhador
381,v,aconselhar
382,v,aconsoantar
383,v,acontecer
384,nc,acontecimento
385,nc,acoplamento
386,nc,acoplagem
387,v,acoplar
388,nc,açor
389,nc,açorda
390,adj,acordante
391,nc,acórdão
392,v,acordar
393,nc,acordeão
394,a,acorde
395,nc,acordeonista
396,nc,acordo
397,nc,acoria
398,a,açoriano
399,v,acoronhar
400,v,acorrentar
401,v,acorrer
402,nc,acossa
403,v,acossar
404,a,acostado
405,nc,acostagem
406,v,acostar
407,v,acostumar
408,adj,açoteado
409,nc,açoteia
410,v,acotovelar
411,nc,açougueiro
412,nc,açougue
413,nc,açoute
414,v,acovardar
415,adj,acre
416,a,acreditador
417,v,acreditar
418,adj,acre-doce
419,v,acrescentar
420,adj,acrescente
421,nc,acrescento
422,v,acrescer
423,nc,acrescido
424,nc,acréscimo
425,v,acriançar
426,adj,acrílico
427,adj,acrítico
428,nc,acrobacia
429,nc,acrobata
430,adj,acrobático
431,nc,acrobatismo
432,adj,acromático
433,v,acromatizar
434,adj,acrónico
435,nc,acrónimo
436,nc,acrópole
437,nc,ata
438,nc,actínia
439,nc,actínio
440,adj,ativante
441,v,ativar
442,nc,atividade
443,nc,ativismo
444,a,ativista
445,a,ativo
446,nc,ato
447,nc,ator
448,nc,atriz
449,nc,atuação
450,adj,atual
451,nc,atualismo
452,a,atualista
453,adj,atualizado
454,v,atualizar
455,adj,atuante
456,v,atuar
457,v,açucarar
458,a,açucareiro
459,nc,açúcar
460,nc,açucena
461,v,açudar
462,nc,açude
463,v,acudir
464,nc,acuidade
465,nc,aculturação
466,nc,acume
467,nc,acumulação
468,a,acumulador
469,v,acumular
470,adj,acumulativo
471,nc,acupuntura
472,v,acurar
473,v,acurralar
474,v,acurvar
475,a,acusador
476,v,acusar
477,a,acusativo
478,adj,acusatório
479,adj,acusmático
480,adv,acusticamente
481,nc,acústica
482,adj,acústico
483,adj,acutangular
484,adj,acutângulo
